Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-07-01 20:52:53 - 21:04:59,86.296,running (indoor),2.215,12:06,5:27,127.0,127.0
2568-07-01 21:08:27 - 21:18:34,92.882,running (indoor),2.693,10:07,3:45,141.0,141.0
2568-07-01 21:25:37 - 21:35:44,84.295,running (indoor),2.693,10:07,3:45,152.0,152.0
2568-07-01 21:46:01 - 21:49:48,24.235,running (indoor),1.004,3:47,3:46,,
2568-07-01 21:54:02 - 22:02:17,62.41,running (indoor),1.4,8:15,5:53,141.0,141.0
2568-07-02 12:59:01 - 13:27:28,210.372,running (indoor),5.213,28:27,5:27,129.0,144.0
2568-07-03 18:39:41 - 18:49:25,140.973,running,2.527,9:44,3:51,113.0,113.0
2568-07-03 18:57:52 - 18:59:03,16.864,running,0.417,1:11,2:50,,
2568-07-03 19:01:00 - 19:02:12,19.298,running,0.42,1:12,2:51,,
2568-07-03 19:04:39 - 19:05:52,19.852,running,0.418,1:13,2:54,,
2568-07-03 19:08:26 - 19:09:39,19.188,running,0.425,1:13,2:51,,
2568-07-03 19:12:41 - 19:13:53,19.869,running,0.419,1:12,2:51,,
2568-07-03 19:17:53 - 19:19:05,18.14,running,0.421,1:12,2:51,,
2568-07-03 19:23:11 - 19:24:22,19.287,running,0.42,1:11,2:49,,
2568-07-03 19:27:46 - 19:28:58,18.528,running,0.42,1:12,2:51,,
2568-07-03 19:32:46 - 19:33:57,19.661,running,0.424,1:11,2:47,,
2568-07-03 19:39:25 - 19:40:37,18.309,running,0.414,1:12,2:53,144.0,144.0
2568-07-03 19:51:29 - 20:04:13,131.368,running,1.807,12:44,7:02,146.0,146.0
2568-07-04 17:39:54 - 18:39:55,577.36,running,10.34,60:01,5:48,126.333,140.0
2568-07-05 08:00:10 - 09:06:13,693.588,running,10.932,66:03,6:02,138.667,152.0
2568-07-05 17:17:11 - 17:48:38,297.91,running,5.199,31:27,6:02,130.0,141.0
2568-07-05 17:57:02 - 18:20:18,411.202,running,6.004,23:16,3:52,132.333,148.0
2568-07-05 18:32:28 - 18:34:32,35.706,running,0.598,2:04,3:27,,
2568-07-05 18:36:50 - 18:53:06,171.176,running,2.402,16:16,6:46,138.5,142.0
2568-07-06 17:28:20 - 18:31:27,842.831,running,12.795,63:07,4:55,154.714,176.0
2568-07-07 17:52:34 - 18:47:36,642.915,running,10.001,55:02,5:30,147.6,162.0
2568-07-08 18:28:09 - 18:51:46,231.919,running,4.506,23:37,5:14,131.0,151.0
2568-07-08 18:59:32 - 19:03:53,76.732,running,1.221,4:21,3:33,117.0,117.0
2568-07-08 19:09:07 - 19:13:22,75.577,running,1.22,4:15,3:29,153.0,153.0
2568-07-10 08:12:37 - 09:10:24,727.476,running,11.096,57:47,5:12,153.167,171.0
2568-07-10 17:12:29 - 17:35:33,267.138,running,4.396,23:04,5:14,140.5,150.0
2568-07-10 17:52:05 - 17:53:27,21.683,running,0.412,1:22,3:19,,
2568-07-10 17:55:16 - 17:56:38,22.487,running,0.41,1:22,3:20,,
2568-07-10 17:58:19 - 17:59:40,21.46,running,0.41,1:21,3:17,,
2568-07-10 18:01:52 - 18:03:14,18.968,running,0.414,1:22,3:18,,
2568-07-10 18:05:46 - 18:07:06,22.39,running,0.41,1:20,3:15,,
2568-07-10 18:08:56 - 18:10:20,19.733,running,0.418,1:24,3:20,147.0,147.0
2568-07-10 18:12:05 - 18:13:28,22.669,running,0.417,1:23,3:19,,
2568-07-10 18:15:42 - 18:17:02,19.538,running,0.405,1:20,3:17,,
2568-07-10 18:19:15 - 18:20:36,21.547,running,0.411,1:21,3:17,148.0,148.0
2568-07-10 18:23:58 - 18:25:21,22.132,running,0.423,1:23,3:16,,
2568-07-10 18:27:21 - 18:28:42,21.865,running,0.413,1:21,3:16,,
2568-07-10 18:30:48 - 18:32:10,22.114,running,0.413,1:22,3:18,,
2568-07-10 18:34:41 - 18:36:00,20.095,running,0.409,1:19,3:13,,
2568-07-10 18:38:24 - 18:39:46,23.531,running,0.417,1:22,3:16,,
2568-07-10 18:42:04 - 18:43:23,21.46,running,0.413,1:19,3:11,,
2568-07-10 18:46:01 - 18:47:21,21.946,running,0.411,1:20,3:14,,
2568-07-10 18:49:06 - 19:04:29,177.726,running,2.307,15:23,6:40,148.0,153.0
2568-07-11 17:41:31 - 18:49:50,663.262,running,12.001,68:19,5:41,133.0,138.0
2568-07-12 07:17:06 - 08:23:58,609.631,running,10.698,66:52,6:15,130.0,144.0
2568-07-12 17:27:31 - 17:56:13,300.436,running,5.009,28:42,5:43,135.667,144.0
2568-07-12 18:05:53 - 18:19:15,224.198,running,3.387,13:22,3:56,121.0,121.0
2568-07-12 18:22:11 - 18:24:31,24.954,running,0.293,2:20,7:57,,
2568-07-16 18:27:16 - 18:32:04,28.463,running (indoor),0.783,4:48,6:07,129.0,129.0
2568-07-17 17:05:00 - 17:31:35,280.542,running,5.041,26:35,5:16,137.667,147.0
2568-07-17 17:44:53 - 17:46:13,17.368,running,0.425,1:20,3:08,,
2568-07-17 17:47:34 - 17:48:50,17.391,running,0.419,1:16,3:01,,
2568-07-17 17:50:24 - 17:51:41,18.1,running,0.423,1:17,3:02,,
2568-07-17 17:53:46 - 17:55:02,18.104,running,0.423,1:16,2:59,,
2568-07-17 17:56:38 - 17:57:55,18.529,running,0.426,1:17,3:00,,
2568-07-17 18:00:05 - 18:01:22,17.977,running,0.421,1:17,3:02,,
2568-07-17 18:03:13 - 18:04:30,18.556,running,0.417,1:17,3:04,,
2568-07-17 18:06:36 - 18:07:53,18.554,running,0.417,1:17,3:04,,
2568-07-17 18:11:56 - 18:13:14,18.156,running,0.417,1:18,3:07,,
2568-07-17 18:15:11 - 18:16:28,18.955,running,0.42,1:17,3:03,,
2568-07-17 18:18:24 - 18:54:04,426.469,running,6.13,35:40,5:49,151.5,156.0
2568-07-18 17:51:27 - 18:06:21,123.541,running,2.263,14:54,6:35,130.0,130.0
2568-07-20 17:40:23 - 17:53:23,154.557,running,2.397,13:00,5:25,149.0,149.0
2568-07-20 17:58:45 - 18:49:33,715.364,running,10.61,50:48,4:47,165.6,176.0
2568-07-21 17:49:16 - 18:44:40,668.495,running,10.007,55:24,5:32,143.833,163.0
2568-07-22 16:23:50 - 16:57:16,267.918,running,4.495,33:26,7:26,146.667,152.0
2568-07-22 17:01:00 - 17:05:11,73.042,running,1.219,4:11,3:25,,
2568-07-22 17:12:16 - 17:15:08,47.325,running,0.809,2:52,3:32,,
2568-07-22 17:21:10 - 17:24:00,49.331,running,0.812,2:50,3:29,,
2568-07-22 17:31:40 - 17:33:07,22.62,running,0.427,1:27,3:23,,
2568-07-22 17:38:55 - 17:40:15,21.391,running,0.417,1:20,3:11,144.0,144.0
2568-07-22 17:41:54 - 17:43:16,22.289,running,0.423,1:22,3:13,,
2568-07-22 17:45:47 - 17:47:07,21.932,running,0.422,1:20,3:09,,
2568-07-22 17:50:27 - 17:51:49,21.193,running,0.425,1:22,3:12,,
2568-07-22 18:01:36 - 18:02:58,22.947,running,0.423,1:22,3:13,,
2568-07-22 18:07:09 - 18:08:30,20.839,running,0.421,1:21,3:12,,
2568-07-22 18:12:59 - 18:14:19,21.933,running,0.428,1:20,3:06,,
2568-07-22 18:17:55 - 18:21:56,48.666,running,0.716,4:01,5:36,139.0,139.0
2568-07-23 18:08:11 - 18:29:11,149.217,running (indoor),4.022,21:00,5:13,127.5,138.0
2568-07-24 17:07:48 - 17:30:51,241.037,running,4.277,23:03,5:23,133.333,147.0
2568-07-24 17:43:33 - 17:44:50,17.445,running,0.422,1:17,3:02,,
2568-07-24 17:47:15 - 17:48:32,16.622,running,0.426,1:17,3:00,,
2568-07-24 17:50:45 - 17:52:00,19.704,running,0.421,1:15,2:58,,
2568-07-24 17:54:20 - 17:55:38,17.541,running,0.425,1:18,3:03,,
2568-07-24 17:57:28 - 17:58:45,18.002,running,0.425,1:17,3:01,,
2568-07-24 18:01:05 - 18:02:22,17.858,running,0.427,1:17,3:00,,
2568-07-24 18:04:31 - 18:05:46,18.394,running,0.421,1:15,2:58,,
2568-07-24 18:08:03 - 18:09:19,20.405,running,0.426,1:16,2:58,,
2568-07-24 18:11:37 - 18:12:53,20.958,running,0.425,1:16,2:58,,
2568-07-24 18:15:17 - 18:16:32,19.176,running,0.421,1:15,2:58,,
2568-07-24 18:19:03 - 18:20:19,20.508,running,0.422,1:16,3:00,150.0,150.0
2568-07-24 18:22:03 - 18:23:20,19.658,running,0.423,1:17,3:02,,
2568-07-24 18:25:34 - 18:26:51,20.018,running,0.424,1:17,3:01,,
2568-07-24 18:29:11 - 18:30:26,20.816,running,0.421,1:15,2:58,155.0,155.0
2568-07-24 18:32:33 - 18:33:50,20.685,running,0.421,1:17,3:02,,
2568-07-24 18:35:54 - 18:37:04,19.552,running,0.412,1:10,2:49,,
2568-07-24 18:45:00 - 18:53:46,62.151,running,0.893,8:46,9:49,140.0,140.0
2568-07-25 17:49:03 - 18:40:02,470.208,running,8.65,50:59,5:53,124.667,134.0
2568-07-26 17:40:05 - 18:04:07,270.21,running,4.797,24:02,5:00,144.0,150.0
2568-07-26 18:15:26 - 18:34:53,319.707,running,5.005,19:27,3:53,155.0,179.0
2568-07-26 18:40:42 - 18:46:08,72.373,running,0.903,5:26,6:01,,
2568-07-27 08:30:42 - 08:50:15,197.69,running,3.43,19:33,5:41,135.0,143.0
2568-07-27 17:32:51 - 17:38:47,57.691,running,1.143,5:56,5:11,,
2568-07-27 17:49:05 - 18:06:02,216.851,running,3.824,16:57,4:25,127.0,155.0
2568-07-29 17:47:05 - 18:11:55,249.597,running,4.373,24:50,5:40,131.333,141.0
2568-07-29 18:25:40 - 18:30:05,76.864,running,1.218,4:25,3:37,147.0,147.0
2568-07-29 18:34:14 - 18:38:37,74.753,running,1.219,4:23,3:35,,
2568-07-29 18:44:06 - 18:48:26,77.174,running,1.219,4:20,3:33,,
2568-07-29 18:56:06 - 19:00:24,77.827,running,1.216,4:18,3:32,148.0,148.0
2568-07-29 19:09:16 - 19:10:38,22.919,running,0.422,1:22,3:14,138.0,138.0
2568-07-29 19:17:20 - 19:25:45,77.152,running,1.175,8:25,7:09,134.0,134.0
2568-07-30 19:56:04 - 20:17:09,156.255,running (indoor),4.213,21:05,5:00,130.0,142.0
2568-07-31 18:04:05 - 18:20:11,172.615,running,3.044,16:06,5:17,138.5,145.0
2568-07-31 18:28:22 - 18:29:39,20.557,running,0.416,1:17,3:05,,
2568-07-31 18:31:03 - 18:32:21,19.667,running,0.418,1:18,3:06,,
2568-07-31 18:34:00 - 18:35:19,17.76,running,0.415,1:19,3:10,,
2568-07-31 18:36:44 - 18:38:03,19.014,running,0.423,1:19,3:06,,
2568-07-31 18:39:49 - 18:41:07,18.23,running,0.422,1:18,3:04,151.0,151.0
2568-07-31 18:42:47 - 18:44:05,20.246,running,0.423,1:18,3:04,,
2568-07-31 18:45:48 - 18:47:07,20.194,running,0.423,1:19,3:06,,
2568-07-31 18:48:46 - 18:50:04,21.639,running,0.421,1:18,3:05,148.0,148.0
2568-07-31 18:52:07 - 18:53:26,19.805,running,0.424,1:19,3:06,,
2568-07-31 18:55:12 - 18:56:29,20.93,running,0.418,1:17,3:04,,
2568-07-31 18:58:14 - 18:59:33,21.526,running,0.418,1:19,3:08,,
2568-07-31 19:01:48 - 19:03:08,23.022,running,0.418,1:20,3:11,,
2568-07-31 19:04:49 - 19:06:09,22.398,running,0.426,1:20,3:07,,
2568-07-31 19:08:26 - 19:09:47,22.943,running,0.424,1:21,3:11,,
2568-07-31 19:13:00 - 19:14:20,22.434,running,0.423,1:20,3:09,,
2568-07-31 19:16:53 - 19:18:02,19.255,running,0.41,1:09,2:48,,
2568-07-31 19:23:34 - 19:28:45,45.624,running,0.674,5:11,7:41,,
