Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-02-01 07:29:49 - 08:10:41,595.265,running,9.013,40:52,4:32,102.143,174.0
2568-02-01 17:11:13 - 17:29:46,186.611,running,3.003,18:33,6:10,128.0,128.0
2568-02-01 17:43:44 - 18:04:49,254.994,running,3.543,21:05,5:57,150.0,165.0
2568-02-01 18:15:35 - 18:36:53,247.639,running,3.522,21:18,6:02,150.0,156.0
2568-02-01 18:37:53 - 18:45:30,76.236,running,1.0,7:37,7:37,158.0,158.0
2568-02-02 16:47:02 - 17:30:19,484.832,running,7.435,43:17,5:49,146.0,157.0
2568-02-03 16:32:00 - 17:05:04,387.966,running,5.497,33:04,6:00,144.667,158.0
2568-02-04 17:22:27 - 17:47:20,311.517,running,5.0,24:53,4:58,150.5,155.0
2568-02-04 18:01:53 - 18:06:17,77.509,running,1.282,4:24,3:25,,
2568-02-04 18:10:18 - 18:14:50,77.761,running,1.283,4:32,3:32,,
2568-02-04 18:19:17 - 18:23:43,78.521,running,1.29,4:26,3:26,145.0,145.0
2568-02-04 18:29:58 - 18:34:37,81.826,running,1.3,4:39,3:34,153.0,153.0
2568-02-04 18:45:55 - 18:50:37,82.017,running,1.285,4:42,3:39,135.0,135.0
2568-02-04 18:56:36 - 19:01:19,82.104,running,1.301,4:43,3:37,136.0,136.0
2568-02-04 19:05:46 - 19:10:38,84.752,running,1.283,4:52,3:47,145.0,145.0
2568-02-04 19:16:06 - 19:21:11,85.587,running,1.278,5:05,3:58,144.0,144.0
2568-02-06 11:30:58 - 11:48:08,141.927,running (indoor),3.001,17:10,5:43,139.0,139.0
2568-02-06 17:12:53 - 17:40:04,304.496,running,4.997,27:11,5:26,145.0,153.0
2568-02-06 17:52:45 - 18:12:35,322.048,running,5.0,19:50,3:58,169.5,174.0
2568-02-06 18:37:23 - 18:38:54,21.425,running,0.407,1:31,3:43,,
2568-02-06 18:40:08 - 18:41:33,22.616,running,0.412,1:25,3:26,,
2568-02-06 18:43:20 - 18:44:39,21.435,running,0.423,1:19,3:06,,
2568-02-06 18:46:42 - 18:47:52,18.787,running,0.421,1:10,2:46,,
2568-02-06 18:51:40 - 18:53:00,22.3,running,0.431,1:20,3:05,,
2568-02-07 07:36:19 - 08:16:21,242.101,running (indoor),7.0,40:02,5:43,138.25,154.0
2568-02-07 13:12:22 - 13:32:15,104.785,running (indoor),3.477,19:53,5:43,138.0,141.0
2568-02-08 07:02:36 - 07:16:31,90.014,running,2.054,13:55,6:46,124.0,124.0
2568-02-08 07:30:48 - 08:10:44,585.133,running,9.0,39:56,4:26,152.0,173.0
2568-02-08 17:08:49 - 17:27:16,141.966,running,2.997,18:27,6:09,114.0,130.0
2568-02-08 17:48:18 - 17:49:37,18.968,running,0.4,1:19,3:17,,
2568-02-08 17:51:07 - 17:52:27,21.209,running,0.4,1:20,3:20,,
2568-02-08 17:54:29 - 17:55:48,20.793,running,0.4,1:19,3:17,,
2568-02-08 17:58:33 - 17:59:53,20.774,running,0.4,1:20,3:20,,
2568-02-08 18:02:19 - 18:03:40,21.698,running,0.4,1:21,3:22,,
2568-02-08 18:06:42 - 18:08:02,20.473,running,0.4,1:20,3:20,,
2568-02-08 18:11:17 - 18:12:41,20.738,running,0.4,1:24,3:30,,
2568-02-08 18:16:19 - 18:17:44,21.413,running,0.4,1:25,3:32,,
2568-02-08 18:24:07 - 18:25:34,22.11,running,0.4,1:27,3:37,,
2568-02-08 18:28:24 - 18:29:58,22.239,running,0.4,1:34,3:55,,
2568-02-08 18:32:37 - 18:34:04,21.922,running,0.4,1:27,3:37,,
2568-02-08 18:36:25 - 18:37:47,20.868,running,0.4,1:22,3:25,,
2568-02-08 18:39:51 - 18:41:14,19.695,running,0.4,1:23,3:27,129.0,129.0
2568-02-08 18:44:59 - 18:46:22,20.831,running,0.4,1:23,3:27,,
2568-02-08 18:48:04 - 18:49:28,21.68,running,0.4,1:24,3:30,,
2568-02-08 18:53:05 - 18:54:21,19.316,running,0.4,1:16,3:10,,
2568-02-09 17:14:32 - 18:47:42,1062.494,running,18.507,93:10,5:02,151.556,167.0
2568-02-10 16:18:32 - 16:53:16,176.363,running,4.002,34:44,8:40,112.75,121.0
