Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-06-01 18:24:04 - 19:08:52,377.843,running,7.03,35:16,5:01,166.19,194.0
2567-06-03 18:09:44 - 18:38:11,264.074,running,5.029,22:42,4:30,173.731,198.0
2567-06-03 18:42:59 - 18:49:03,55.494,running,1.027,4:24,4:17,170.7,185.0
2567-06-04 18:17:25 - 19:23:41,456.299,running,8.015,44:00,5:29,153.628,181.0
2567-06-06 18:01:44 - 18:05:33,53.125,running,1.041,3:49,3:40,183.361,190.0
2567-06-06 18:10:14 - 18:18:18,56.812,running,1.046,3:52,3:42,170.359,195.0
2567-06-06 18:20:09 - 18:28:24,55.816,running,1.027,3:56,3:50,167.375,194.0
2567-06-06 18:30:56 - 18:39:22,56.511,running,1.034,3:58,3:50,158.14,195.0
2567-06-06 18:41:13 - 18:51:51,56.913,running,1.045,3:56,3:46,151.475,196.0
2567-06-06 18:52:36 - 19:14:27,56.453,running,1.031,3:58,3:51,135.514,192.0
2567-06-07 17:56:23 - 19:08:14,539.981,running,10.013,58:33,5:50,161.056,179.0
2567-06-08 18:13:40 - 19:01:30,370.562,running,7.044,30:52,4:23,152.381,190.0
2567-06-10 18:16:43 - 19:08:23,266.675,running,5.04,21:46,4:19,151.943,195.0
2567-06-11 17:55:09 - 19:15:02,590.464,running,10.632,60:25,5:40,147.04,168.0
2567-06-12 17:56:23 - 18:05:45,56.324,running,1.047,3:35,3:25,151.05,187.0
2567-06-12 18:06:04 - 18:15:07,55.608,running,1.023,3:43,3:38,155.309,186.0
2567-06-12 18:15:36 - 18:25:30,58.117,running,1.04,3:48,3:39,148.957,185.0
2567-06-12 18:25:44 - 18:36:01,55.365,running,1.024,3:44,3:39,144.058,188.0
2567-06-12 18:36:21 - 18:45:39,56.651,running,1.023,3:46,3:41,152.755,186.0
2567-06-12 18:45:59 - 18:50:27,54.429,running,1.036,3:45,3:37,175.528,190.0
2567-06-13 17:43:41 - 18:51:44,609.384,running,10.551,59:26,5:38,157.923,172.0
2567-06-15 18:16:10 - 19:16:54,380.62,running,7.017,31:22,4:28,153.058,191.0
2567-06-17 18:22:46 - 18:49:17,131.275,running,2.44,11:26,4:41,130.717,182.0
2567-06-18 17:40:12 - 19:20:36,658.691,running,12.017,66:44,5:33,153.016,178.0
2567-06-19 17:52:55 - 18:04:26,57.384,running,1.036,3:31,3:23,140.24,185.0
2567-06-19 18:05:03 - 18:14:42,57.858,running,1.034,3:46,3:39,144.353,180.0
2567-06-19 18:15:12 - 18:25:15,56.397,running,1.03,3:46,3:40,147.675,194.0
2567-06-19 18:25:34 - 18:36:35,54.554,running,1.037,3:48,3:40,146.736,190.0
2567-06-19 18:37:11 - 18:48:25,56.686,running,1.024,3:46,3:41,151.236,193.0
2567-06-19 18:49:05 - 18:59:53,57.146,running,1.054,4:00,3:47,169.411,192.0
2567-06-20 17:42:38 - 18:49:10,617.962,running,11.029,61:17,5:33,155.596,170.0
2567-06-22 18:24:11 - 18:41:40,107.515,running,2.013,13:43,6:49,123.292,154.0
2567-06-24 18:02:27 - 18:28:01,276.356,running,5.014,22:27,4:28,182.909,197.0
2567-06-25 17:43:21 - 18:05:32,62.174,running,1.161,7:01,6:03,111.045,166.0
2567-06-26 18:23:47 - 19:14:03,341.462,running,6.018,33:00,5:29,149.124,183.0
2567-06-27 17:40:37 - 18:40:00,406.306,running,7.256,40:16,5:33,160.766,187.0
2567-06-28 17:27:45 - 18:34:14,427.14,running,7.27,42:36,5:51,148.149,170.0
2567-06-29 18:28:09 - 19:08:02,304.326,running,5.611,35:07,6:15,157.688,170.0
2567-06-30 18:09:40 - 18:25:48,52.679,running,1.016,6:08,6:02,114.481,151.0
