Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2566-11-01 17:42:28 - 18:14:47,267.341,running,4.316,25:26,5:53,157.633,181.0
2566-11-02 17:43:54 - 18:26:05,318.283,running,4.612,26:48,5:48,150.512,173.0
2566-11-06 18:54:54 - 19:30:36,110.427,running (indoor),1.148,6:47,5:55,111.686,179.0
2566-11-07 18:08:49 - 18:40:14,281.383,running (indoor),4.948,30:07,6:05,150.575,172.0
2566-11-08 18:20:10 - 19:03:44,401.117,running (indoor),6.828,39:59,5:51,150.096,175.0
2566-11-09 18:35:57 - 18:39:26,16.128,running (indoor),0.269,3:02,11:20,132.507,139.0
2566-11-09 18:40:04 - 19:13:24,308.381,running (indoor),5.56,32:45,5:53,159.358,180.0
2566-11-13 07:41:12 - 08:20:22,337.239,running,6.038,34:08,5:39,144.81,169.0
2566-11-13 17:34:55 - 18:06:49,273.554,running,5.044,30:58,6:08,163.325,176.0
2566-11-14 07:11:09 - 07:51:26,342.784,running,6.335,38:12,6:01,162.753,179.0
2566-11-14 17:32:01 - 17:59:52,219.435,running,4.024,26:55,6:41,145.197,154.0
2566-11-17 17:29:04 - 18:09:03,287.77,running,5.127,29:09,5:41,159.697,181.0
2566-11-20 17:34:00 - 17:57:14,165.84,running,3.141,19:29,6:12,147.553,164.0
2566-11-21 17:23:34 - 17:56:31,279.558,running,5.113,30:45,6:00,162.595,170.0
2566-11-22 17:17:00 - 18:06:44,361.793,running,7.042,42:29,6:02,161.18,174.0
