Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-01-01 17:45:12 - 18:13:10,268.664,running,5.112,24:35,4:48,165.72,184.0
2567-01-02 07:28:04 - 07:54:03,267.671,running,5.063,24:47,4:53,164.318,174.0
2567-01-02 17:38:46 - 18:09:33,274.467,running,5.144,25:27,4:56,163.878,179.0
2567-01-03 18:49:30 - 19:14:09,274.541,running (indoor),5.052,24:38,4:52,168.471,181.0
2567-01-04 13:58:52 - 14:23:38,278.526,running (indoor),5.03,24:21,4:50,164.339,172.0
2567-01-06 17:45:50 - 18:12:15,268.547,running,5.035,22:39,4:30,181.058,201.0
2567-01-07 17:30:54 - 17:49:46,162.296,running,3.071,14:24,4:41,161.049,180.0
2567-01-08 18:22:17 - 18:47:01,274.458,running (indoor),5.073,24:44,4:52,159.024,176.0
2567-01-09 18:16:18 - 18:36:18,186.744,running (indoor),3.449,16:42,4:50,155.581,168.0
2567-01-10 18:00:15 - 18:26:31,275.188,running (indoor),5.071,24:34,4:50,166.303,182.0
2567-01-13 17:49:44 - 18:13:43,268.425,running,5.049,23:58,4:44,175.733,184.0
2567-01-15 18:27:32 - 18:57:33,276.357,running (indoor),5.089,24:55,4:53,163.994,179.0
2567-01-16 17:57:52 - 18:22:36,267.875,running,5.062,23:08,4:34,166.141,179.0
2567-01-17 17:53:35 - 18:16:36,272.726,running,5.071,23:00,4:32,175.953,188.0
2567-01-18 17:55:43 - 18:50:13,268.99,running,5.077,22:18,4:23,140.719,193.0
2567-01-19 17:48:30 - 18:11:47,271.672,running,5.036,22:18,4:25,182.986,191.0
2567-01-20 17:53:21 - 18:26:55,374.721,running,7.039,33:07,4:42,172.833,184.0
2567-01-22 17:59:53 - 18:14:17,166.846,running (indoor),3.056,14:23,4:42,172.058,180.0
2567-01-23 17:56:32 - 18:12:08,175.881,running (indoor),3.25,15:20,4:43,166.106,182.0
2567-01-24 18:39:05 - 18:54:45,181.301,running (indoor),3.331,15:35,4:40,163.176,174.0
2567-01-25 18:13:50 - 18:29:07,167.981,running (indoor),3.121,14:55,4:47,159.672,174.0
2567-01-26 17:50:19 - 18:04:53,175.991,running (indoor),3.244,14:34,4:29,183.846,196.0
2567-01-29 17:41:04 - 18:04:53,282.437,running (indoor),5.198,23:34,4:32,169.483,178.0
2567-01-30 17:33:17 - 17:56:55,286.131,running (indoor),5.26,23:35,4:29,168.411,180.0
2567-01-31 17:41:06 - 18:04:33,274.012,running (indoor),5.084,23:24,4:36,172.132,183.0
