Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-03-02 17:55:38 - 18:25:47,342.702,running,6.423,30:08,4:41,175.753,185.0
2567-03-03 17:42:37 - 18:08:39,268.004,running,5.034,22:11,4:24,177.061,196.0
2567-03-05 18:35:04 - 19:09:43,383.17,running (indoor),7.054,34:05,4:49,173.711,189.0
2567-03-06 18:17:35 - 18:50:43,384.148,running (indoor),7.043,33:08,4:42,169.31,178.0
2567-03-09 17:59:04 - 18:31:08,375.394,running,7.033,31:26,4:28,175.895,191.0
2567-03-10 17:57:45 - 18:29:11,377.391,running,7.045,31:15,4:26,181.804,192.0
2567-03-12 18:27:01 - 19:05:58,382.394,running (indoor),7.029,34:29,4:54,163.54,185.0
2567-03-13 18:19:25 - 18:57:36,378.653,running (indoor),7.019,35:06,5:00,164.913,184.0
2567-03-15 18:15:23 - 18:48:50,376.427,running,7.038,32:39,4:38,178.816,186.0
