Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2567-10-07 16:54:47 - 17:21:09,185.449,running,3.313,20:01,6:02,134.939,171.0
2567-10-08 17:25:35 - 18:00:46,331.172,running,6.259,35:11,5:37,144.938,174.0
2567-10-08 18:02:15 - 18:39:30,429.346,running,7.303,35:08,4:48,174.776,188.0
2567-10-09 17:16:15 - 17:43:36,155.979,running,2.641,17:22,6:34,118.391,152.0
2567-10-25 17:06:03 - 17:28:06,209.861,running,3.203,20:37,6:26,157.962,179.0
2567-10-26 17:23:31 - 17:49:18,213.941,running,3.39,21:37,6:22,155.741,185.0
2567-10-27 17:14:04 - 17:41:41,279.17,running,4.307,25:08,5:50,169.783,193.0
2567-10-28 17:20:55 - 17:53:29,333.14,running,5.125,30:44,5:59,165.808,189.0
