Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-06-24 18:42:22 - 18:44:33,37.672,running,0.603,2:11,3:37,,
2568-06-24 18:49:05 - 19:11:14,222.622,running,3.296,22:09,6:43,145.667,151.0
2568-06-26 17:10:42 - 17:40:18,325.16,running,5.319,29:36,5:33,146.0,156.0
2568-06-26 17:51:00 - 18:10:15,342.254,running,5.001,19:15,3:50,144.5,151.0
2568-06-26 18:20:17 - 18:22:17,34.103,running,0.6,2:00,3:20,,
2568-06-26 18:25:17 - 18:27:16,33.211,running,0.604,1:59,3:17,,
2568-06-26 18:30:39 - 18:32:36,33.513,running,0.599,1:57,3:15,,
2568-06-26 18:36:44 - 18:38:43,31.456,running,0.599,1:59,3:18,,
2568-06-26 18:42:31 - 18:44:30,34.152,running,0.6,1:59,3:18,,
2568-06-26 18:46:27 - 18:57:37,112.331,running,1.718,11:10,6:29,139.0,139.0
2568-06-27 07:24:36 - 07:40:09,154.878,running,2.751,15:33,5:39,132.0,142.0
2568-06-28 18:12:54 - 18:45:33,383.277,running,6.703,32:39,4:52,149.333,161.0
2568-06-30 17:04:23 - 17:58:45,636.939,running,10.01,54:22,5:25,146.0,159.0
