Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2568-05-06 17:53:48 - 18:17:55,301.16,running,4.009,24:07,6:00,143.0,156.0
2568-05-07 17:55:24 - 18:30:36,430.887,running,6.011,35:12,5:51,150.0,165.0
2568-05-09 17:33:47 - 17:57:42,270.379,running,3.839,23:55,6:13,140.5,150.0
2568-05-09 18:08:11 - 18:09:35,22.123,running,0.413,1:24,3:23,,
2568-05-09 18:11:03 - 18:12:25,21.28,running,0.419,1:22,3:15,,
2568-05-09 18:14:04 - 18:15:23,20.094,running,0.412,1:19,3:11,,
2568-05-09 18:17:05 - 18:18:23,20.494,running,0.415,1:18,3:07,,
2568-05-09 18:20:18 - 18:21:39,21.152,running,0.422,1:21,3:11,,
2568-05-09 18:25:24 - 18:26:45,14.394,running,0.229,1:21,5:53,,
2568-05-10 07:29:59 - 07:50:40,198.047,running,3.117,20:41,6:38,129.667,146.0
2568-05-10 08:03:13 - 08:05:14,33.24,running,0.617,2:01,3:16,,
2568-05-10 08:07:57 - 08:09:59,34.137,running,0.61,2:02,3:20,,
2568-05-11 17:38:27 - 17:52:04,161.282,running,2.499,13:37,5:26,139.0,154.0
2568-05-11 18:09:47 - 18:10:59,18.138,running,0.4,1:12,3:00,110.0,110.0
2568-05-11 18:13:04 - 18:14:15,18.927,running,0.4,1:11,2:57,,
2568-05-11 18:16:15 - 18:17:26,18.108,running,0.4,1:11,2:57,,
2568-05-11 18:20:57 - 18:22:14,21.098,running,0.4,1:17,3:12,,
2568-05-13 17:19:08 - 17:35:08,199.66,running,2.914,16:00,5:29,131.5,155.0
2568-05-13 17:49:01 - 17:52:04,52.154,running,0.84,3:03,3:37,114.0,114.0
2568-05-13 17:55:07 - 17:58:07,50.868,running,0.854,3:00,3:30,,
2568-05-13 18:02:06 - 18:05:06,51.083,running,0.848,3:00,3:32,,
2568-05-13 18:10:20 - 18:13:21,52.098,running,0.854,3:01,3:31,,
2568-05-13 18:20:39 - 18:23:42,53.493,running,0.853,3:03,3:34,,
2568-05-13 18:28:20 - 18:30:35,25.659,running,0.395,2:15,5:41,157.0,157.0
2568-05-15 17:16:53 - 17:34:01,218.451,running,3.158,17:08,5:25,147.5,160.0
2568-05-15 17:40:38 - 17:41:56,20.279,running,0.415,1:18,3:07,,
2568-05-15 17:44:07 - 17:45:25,19.999,running,0.417,1:18,3:07,,
2568-05-15 17:48:19 - 17:49:38,20.403,running,0.414,1:19,3:10,,
2568-05-15 17:53:07 - 17:54:24,19.903,running,0.415,1:17,3:05,,
2568-05-15 17:58:08 - 17:59:24,19.909,running,0.413,1:16,3:04,,
2568-05-15 18:03:55 - 18:05:15,21.562,running,0.434,1:20,3:04,,
2568-05-15 18:09:15 - 18:10:33,21.44,running,0.42,1:18,3:05,156.0,156.0
2568-05-15 18:17:38 - 18:18:58,21.469,running,0.426,1:20,3:07,,
2568-05-15 18:23:31 - 18:24:50,21.984,running,0.42,1:19,3:08,,
2568-05-15 18:28:52 - 18:30:11,21.315,running,0.422,1:19,3:07,152.0,152.0
2568-05-15 18:34:14 - 18:35:16,10.258,running,0.129,1:02,8:00,,
2568-05-16 07:51:35 - 08:27:46,425.711,running,6.006,36:11,6:01,154.667,160.0
2568-05-16 17:48:07 - 18:29:42,406.931,running,6.007,41:35,6:55,133.5,149.0
2568-05-17 08:01:18 - 08:12:35,120.908,running,1.82,11:17,6:11,138.0,138.0
2568-05-17 08:25:52 - 08:28:07,37.429,running,0.618,2:15,3:38,,
2568-05-17 08:31:40 - 08:33:53,36.736,running,0.62,2:13,3:34,,
2568-05-17 08:38:29 - 08:40:40,35.542,running,0.618,2:11,3:31,152.0,152.0
2568-05-17 08:46:22 - 08:48:35,37.251,running,0.621,2:13,3:34,,
2568-05-17 08:55:11 - 08:57:24,37.763,running,0.617,2:13,3:35,,
2568-05-17 08:59:37 - 09:05:23,69.958,running,0.917,5:46,6:17,147.0,147.0
2568-05-22 18:08:30 - 18:23:27,198.907,running,3.017,14:57,4:57,140.0,163.0
2568-05-23 17:59:55 - 18:20:08,192.584,running,3.178,20:13,6:21,121.667,137.0
2568-05-25 18:17:25 - 18:26:34,102.844,running,1.595,9:09,5:44,130.0,130.0
2568-05-26 17:54:57 - 18:08:04,144.381,running,2.315,13:07,5:39,118.0,118.0
2568-05-27 17:47:27 - 18:18:02,358.836,running,5.35,30:35,5:42,134.667,153.0
2568-05-28 17:34:13 - 18:00:16,300.268,running,4.399,26:03,5:55,143.333,156.0
2568-05-28 18:10:45 - 18:12:54,36.015,running,0.623,2:09,3:27,,
2568-05-28 18:16:10 - 18:18:16,35.344,running,0.62,2:06,3:23,,
2568-05-28 18:21:37 - 18:23:43,36.35,running,0.617,2:06,3:24,,
2568-05-28 18:27:29 - 18:29:31,35.421,running,0.606,2:02,3:21,,
2568-05-28 18:36:43 - 18:38:48,35.904,running,0.614,2:05,3:23,,
2568-05-29 17:37:59 - 17:55:40,132.629,running,2.136,17:41,8:16,136.5,150.0
2568-05-30 16:43:22 - 17:01:17,225.886,running,3.217,17:55,5:34,154.0,161.0
2568-05-30 17:09:29 - 17:19:53,173.143,running,2.596,10:24,4:00,149.0,149.0
2568-05-30 17:26:23 - 17:29:23,50.776,running,0.802,3:00,3:44,,
2568-05-30 17:34:12 - 17:37:07,48.961,running,0.799,2:55,3:39,,
