Date,Energy (kcal),Activity,Distance(km),Duration(min),Pace(min),Heart rate: Average(min),Heart rate: Maximum(min)
2566-12-06 18:30:34 - 18:55:22,200.994,running (indoor),3.727,22:20,5:59,167.265,179.0
2566-12-07 13:20:35 - 13:51:55,273.424,running (indoor),5.069,30:29,6:00,165.464,181.0
2566-12-09 17:29:15 - 18:02:59,280.347,running,5.398,29:56,5:32,160.285,186.0
2566-12-10 17:22:33 - 18:01:31,326.848,running,6.203,31:58,5:09,168.966,192.0
2566-12-11 17:40:37 - 18:22:20,215.018,running,4.051,21:53,5:24,145.736,177.0
2566-12-12 18:04:41 - 18:33:41,276.384,running (indoor),5.062,26:32,5:14,165.7,179.0
2566-12-13 13:28:09 - 13:57:11,276.672,running (indoor),5.032,26:57,5:21,147.603,184.0
2566-12-13 21:12:02 - 21:44:15,332.368,running (indoor),6.067,30:51,5:05,171.976,184.0
2566-12-14 09:49:36 - 09:55:12,36.473,running (indoor),0.668,3:31,5:16,137.754,152.0
2566-12-15 17:31:05 - 18:17:11,398.392,running,7.343,37:39,5:07,168.281,184.0
2566-12-16 17:26:05 - 18:16:58,563.603,running,10.025,50:28,5:02,181.844,192.0
2566-12-18 18:36:32 - 19:03:51,271.32,running (indoor),5.047,27:12,5:23,161.153,177.0
2566-12-19 18:09:33 - 18:39:08,275.69,running (indoor),5.094,26:50,5:16,157.951,179.0
2566-12-20 18:02:45 - 18:29:21,273.337,running (indoor),5.038,26:16,5:12,157.954,172.0
2566-12-21 13:47:15 - 14:20:54,269.966,running (indoor),5.018,27:00,5:22,143.372,170.0
2566-12-22 17:40:06 - 18:13:32,374.418,running,7.043,32:46,4:39,180.819,187.0
2566-12-23 17:24:30 - 18:13:01,529.661,running,10.052,47:28,4:43,182.775,194.0
2566-12-25 13:25:17 - 13:52:25,275.522,running (indoor),5.063,25:32,5:02,158.084,178.0
2566-12-26 17:47:47 - 18:07:29,169.381,running,3.027,15:07,4:59,166.139,186.0
2566-12-28 07:37:58 - 08:07:19,266.105,running,5.056,24:24,4:49,142.5,161.0
2566-12-28 17:44:22 - 18:11:36,266.066,running,5.045,24:37,4:52,168.188,178.0
