Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2567-10-07 16:54:47 - 2567-10-07 17:21:09,185.449,Running,3.313,1201.605,2.550,7.819,4.704,0.223,0.102,0.423,0.252,0.000,134.939,171.000,8.565
2567-10-08 17:25:35 - 2567-10-08 18:00:46,331.172,Running,6.259,2111.053,,4.260,2.803,0.005,0.216,0.535,0.244,0.000,144.938,174.000,10.746
2567-10-08 18:02:15 - 2567-10-08 18:39:30,429.346,Running,7.303,2108.064,,7.368,2.845,0.000,0.000,0.031,0.462,0.507,174.776,188.000,13.962
2567-10-09 17:16:15 - 2567-10-09 17:43:36,155.979,Running,2.641,1042.653,,6.030,2.942,0.338,0.292,0.370,0.000,0.000,118.391,152.000,10.269
2567-10-25 17:06:03 - 2567-10-25 17:28:06,209.861,Running,3.203,1237.184,,7.189,4.653,0.008,0.061,0.368,0.425,0.138,157.962,179.000,11.315
2567-10-26 17:23:31 - 2567-10-26 17:49:18,213.941,Running,3.390,1297.203,,7.873,4.627,0.000,0.081,0.405,0.410,0.104,155.741,185.000,10.549
2567-10-27 17:14:04 - 2567-10-27 17:41:41,279.170,Running,4.307,1508.053,,7.990,4.496,0.000,0.006,0.169,0.442,0.383,169.783,193.000,11.812
2567-10-28 17:20:55 - 2567-10-28 17:53:29,333.140,Running,5.125,1844.400,,9.520,4.538,0.000,0.028,0.315,0.322,0.335,165.808,189.000,11.977
