Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-05-28 17:34:13 - 2568-05-28 18:00:16,300.268,Running,4.399,1563.000,0.000,0.333,0.334,0.333,0.000,143.333,156.000
2568-05-28 18:10:45 - 2568-05-28 18:12:54,36.015,Running,0.623,129.000,,,,,,,
2568-05-28 18:16:10 - 2568-05-28 18:18:16,35.344,Running,0.620,126.000,,,,,,,
2568-05-28 18:21:37 - 2568-05-28 18:23:43,36.350,Running,0.617,126.000,,,,,,,
2568-05-28 18:27:29 - 2568-05-28 18:29:31,35.421,Running,0.606,122.000,,,,,,,
2568-05-28 18:36:43 - 2568-05-28 18:38:48,35.904,Running,0.614,125.000,,,,,,,
2568-05-29 17:37:59 - 2568-05-29 17:55:40,132.629,Running,2.136,1061.000,0.000,0.500,0.500,0.000,0.000,136.500,150.000
2568-05-30 16:43:22 - 2568-05-30 17:01:17,225.886,Running,3.217,1075.000,0.000,0.000,0.500,0.500,0.000,154.000,161.000
2568-05-30 17:09:29 - 2568-05-30 17:19:53,173.143,Running,2.596,624.000,0.000,0.000,1.000,0.000,0.000,149.000,149.000
2568-05-30 17:26:23 - 2568-05-30 17:29:23,50.776,Running,0.802,180.000,,,,,,,
2568-05-30 17:34:12 - 2568-05-30 17:37:07,48.961,Running,0.799,175.000,,,,,,,
