Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-02-11 17:48:53 - 2568-02-11 17:56:17,135.028,Running,2.143,444.000,1.000,0.000,0.000,0.000,0.000,109.000,109.000
2568-02-11 18:04:55 - 2568-02-11 18:12:26,135.984,Running,2.149,451.000,0.000,0.000,1.000,0.000,0.000,139.000,139.000
2568-02-11 18:23:13 - 2568-02-11 18:30:56,141.134,Running,2.144,463.000,0.000,0.000,1.000,0.000,0.000,153.000,153.000
2568-02-11 18:44:06 - 2568-02-11 18:52:10,144.090,Running,2.140,484.000,0.000,0.000,1.000,0.000,0.000,141.000,141.000
2568-02-13 18:14:41 - 2568-02-13 18:39:34,300.306,Running,5.002,1493.000,0.000,0.000,1.000,0.000,0.000,144.000,149.000
2568-02-13 18:55:39 - 2568-02-13 19:17:03,358.545,Running,5.523,1284.000,0.000,0.000,0.000,1.000,0.000,163.500,171.000
2568-02-13 19:23:43 - 2568-02-13 19:25:01,21.936,Running,0.417,78.000,,,,,,,
2568-02-13 19:27:28 - 2568-02-13 19:28:44,20.849,Running,0.423,76.000,,,,,,,
2568-02-13 19:32:06 - 2568-02-13 19:33:21,21.264,Running,0.421,75.000,,,,,,,
2568-02-13 19:37:10 - 2568-02-13 19:38:23,20.149,Running,0.422,73.000,,,,,,,
2568-02-13 19:43:11 - 2568-02-13 19:44:27,20.259,Running,0.418,76.000,,,,,,,
2568-02-13 19:49:19 - 2568-02-13 19:50:36,21.863,Running,0.419,77.000,0.000,0.000,1.000,0.000,0.000,142.000,142.000
2568-02-14 07:26:03 - 2568-02-14 08:05:54,277.249,Running (Indoor),6.606,2391.000,0.250,0.250,0.500,0.000,0.000,132.750,146.000
2568-02-15 06:52:44 - 2568-02-15 07:08:04,145.308,Running,2.496,920.000,0.000,1.000,0.000,0.000,0.000,129.000,129.000
2568-02-15 07:45:17 - 2568-02-15 07:53:27,105.720,Running,1.804,490.000,0.000,0.000,1.000,0.000,0.000,149.000,149.000
2568-02-15 08:35:09 - 2568-02-15 08:50:58,158.102,Running,2.697,949.000,0.000,0.500,0.500,0.000,0.000,138.000,145.000
2568-02-15 16:40:24 - 2568-02-15 17:10:01,297.867,Running,5.000,1777.000,0.000,0.333,0.667,0.000,0.000,137.333,146.000
2568-02-15 17:29:27 - 2568-02-15 17:30:52,22.556,Running,0.400,85.000,1.000,0.000,0.000,0.000,0.000,96.000,96.000
2568-02-15 17:33:36 - 2568-02-15 17:34:54,20.844,Running,0.400,78.000,,,,,,,
2568-02-15 17:36:42 - 2568-02-15 17:38:00,21.196,Running,0.400,78.000,,,,,,,
2568-02-15 17:40:00 - 2568-02-15 17:41:19,21.633,Running,0.400,79.000,0.000,0.000,1.000,0.000,0.000,142.000,142.000
