Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-06-17 17:27:57 - 2568-06-17 17:49:43,243.152,Running,4.003,1306.000,0.500,0.000,0.500,0.000,0.000,119.500,142.000
2568-06-17 18:01:09 - 2568-06-17 18:05:40,79.318,Running,1.219,271.000,,,,,,,
2568-06-17 18:09:34 - 2568-06-17 18:14:04,77.782,Running,1.212,270.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-06-17 18:20:41 - 2568-06-17 18:25:09,80.000,Running,1.207,268.000,,,,,,,
2568-06-17 18:30:49 - 2568-06-17 18:35:18,79.854,Running,1.205,269.000,,,,,,,
2568-06-17 18:40:36 - 2568-06-17 18:45:06,78.684,Running,1.200,270.000,,,,,,,
2568-06-17 18:58:44 - 2568-06-17 19:07:44,108.830,Running,1.297,540.000,0.000,0.000,1.000,0.000,0.000,139.000,139.000
2568-06-18 17:17:12 - 2568-06-18 17:31:24,147.208,Running,2.360,852.000,0.500,0.000,0.500,0.000,0.000,125.500,144.000
2568-06-19 07:52:39 - 2568-06-19 08:22:36,322.162,Running,5.005,1797.000,0.000,0.333,0.667,0.000,0.000,141.667,152.000
2568-06-19 17:24:00 - 2568-06-19 17:47:33,267.675,Running,4.369,1413.000,0.000,0.500,0.500,0.000,0.000,134.500,149.000
2568-06-19 17:55:24 - 2568-06-19 18:15:19,346.900,Running,5.006,1195.000,0.000,0.500,0.500,0.000,0.000,142.000,149.000
2568-06-19 18:28:16 - 2568-06-19 18:29:35,21.399,Running,0.413,79.000,,,,,,,
2568-06-19 18:33:53 - 2568-06-19 18:35:02,18.416,Running,0.343,69.000,,,,,,,
2568-06-20 17:36:44 - 2568-06-20 18:28:15,589.870,Running,10.003,3091.000,0.200,0.000,0.600,0.200,0.000,138.200,160.000
2568-06-23 17:52:59 - 2568-06-23 18:44:24,673.625,Running,10.006,3085.000,0.000,0.200,0.200,0.400,0.200,157.400,176.000
2568-06-24 17:07:53 - 2568-06-24 17:37:22,323.764,Running,5.303,1769.000,0.333,0.000,0.667,0.000,0.000,129.000,148.000
2568-06-24 17:50:09 - 2568-06-24 17:54:39,78.505,Running,1.221,270.000,,,,,,,
2568-06-24 18:00:03 - 2568-06-24 18:04:31,79.562,Running,1.215,268.000,,,,,,,
2568-06-24 18:10:13 - 2568-06-24 18:14:45,80.827,Running,1.227,272.000,,,,,,,
2568-06-24 18:20:07 - 2568-06-24 18:24:36,77.477,Running,1.212,269.000,,,,,,,
2568-06-24 18:30:58 - 2568-06-24 18:35:26,79.947,Running,1.204,268.000,,,,,,,
2568-06-24 18:42:22 - 2568-06-24 18:44:33,37.672,Running,0.603,131.000,,,,,,,
2568-06-24 18:49:05 - 2568-06-24 19:11:14,222.622,Running,3.296,1329.000,0.000,0.000,1.000,0.000,0.000,145.667,151.000
2568-06-26 17:10:42 - 2568-06-26 17:40:18,325.160,Running,5.319,1776.000,0.000,0.000,0.667,0.333,0.000,146.000,156.000
2568-06-26 17:51:00 - 2568-06-26 18:10:15,342.254,Running,5.001,1155.000,0.000,0.000,1.000,0.000,0.000,144.500,151.000
2568-06-26 18:20:17 - 2568-06-26 18:22:17,34.103,Running,0.600,120.000,,,,,,,
2568-06-26 18:25:17 - 2568-06-26 18:27:16,33.211,Running,0.604,119.000,,,,,,,
2568-06-26 18:30:39 - 2568-06-26 18:32:36,33.513,Running,0.599,117.000,,,,,,,
2568-06-26 18:36:44 - 2568-06-26 18:38:43,31.456,Running,0.599,119.000,,,,,,,
2568-06-26 18:42:31 - 2568-06-26 18:44:30,34.152,Running,0.600,119.000,,,,,,,
2568-06-26 18:46:27 - 2568-06-26 18:57:37,112.331,Running,1.718,670.000,0.000,0.000,1.000,0.000,0.000,139.000,139.000
2568-06-27 07:24:36 - 2568-06-27 07:40:09,154.878,Running,2.751,933.000,0.000,0.500,0.500,0.000,0.000,132.000,142.000
2568-06-28 18:12:54 - 2568-06-28 18:45:33,383.277,Running,6.703,1959.000,0.000,0.333,0.333,0.334,0.000,149.333,161.000
2568-06-30 17:04:23 - 2568-06-30 17:58:45,636.939,Running,10.010,3262.000,0.000,0.200,0.400,0.400,0.000,146.000,159.000
